Product_Name,Original_Price,Discount_Price,Discount_Percentage,Rating,Compressor_Type,Star_Rating,Shelfing,Litre_Capacity
SAMSUNG 253 L Frost Free Double Door 1 Star Refrigerator,"₹22,800","₹19,690",13% off,4.4,Digital Inverter Compressor,1 Star,Toughened Glass Shelves,253 L : Good for families of 3-5 members
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹29,990","₹24,190",19% off,4.4,Digital Inverter Compressor,2 Star : For Energy savings up to 20%,Toughened Glass Shelves,253 L : Good for families of 3-5 members
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹21,990","₹17,590",20% off,4.5,Digital Inverter Compressor,5 Star : For Energy savings up to 55%,Toughened Glass Shelves,198 L : Good for couples and small families
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹19,990","₹16,340",18% off,4.5,Digital Inverter Compressor,4 Star : For Energy savings up to 45%,Toughened Glass Shelves,198 L : Good for couples and small families
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹14,990","₹12,290",18% off,4.3,Linear Compressor,2 Star : For Energy savings up to 20%,Toughened Glass Shelves,192 L : Good for couples and small families
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,690","₹13,690",17% off,4.4,Normal Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,190 L : Good for couples and small families
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹14,900","₹12,290",17% off,4.3,Normal Compressor,2 Star : For Energy savings up to 20%,Toughened Glass Shelves,190 L : Good for couples and small families
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹18,990","₹16,290",14% off,4.4,Smart Inverter Compressor,4 Star : For Energy savings up to 45%,Toughened Glass Shelves,190 L : Good for couples and small families
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹17,990","₹13,890",22% off,4.3,Digital Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,192 L : Good for couples and small families
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator,"₹18,990","₹15,890",16% off,4.3,Digital Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,230 L
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹19,990","₹16,340",18% off,4.4,Digital Inverter Compressor,4 Star : For Energy savings up to 45%,Toughened Glass Shelves,198 L : Good for couples and small families
Haier 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,700","₹10,890",20% off,4.2,Reciprocatory Compressor,2 Star : For Energy savings up to 20%,Toughened Glass Shelves,190 L : Good for couples and small families
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹17,900","₹14,290",20% off,4.3,DC Inverter Compressor,4 Star : For Energy savings up to 45%,Toughened Glass Shelves,190 L : Good for couples and small families
SAMSUNG 700 L Frost Free Side by Side Refrigerator,"₹89,590","₹71,990",19% off,4.5,Digital Inverter Compressor,Toughened Glass Shelves,700 L : Good for large families,Built-in Stabilizer
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹18,400","₹13,440",26% off,4.4,Reciprocatory Compressor,4 Star : For Energy savings up to 45%,Toughened Glass Shelves,195 L : Good for couples and small families
Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹30,800","₹24,128",21% off,4.4,Normal Compressor,Toughened Glass Shelves,240 L : Good for families of 3-5 members,Built-in Stabilizer for protection from voltage fluctuations
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹14,400","₹11,290",21% off,4.3,Normal Compressor,2 Star : For Energy savings up to 20%,Wired Shelves,190 L : Good for couples and small families
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹31,990","₹24,990",21% off,4.3,Digital Inverter Compressor,3 Star : For Energy savings up to 35%,Toughened Glass Shelves,253 L : Good for families of 3-5 members
